  -129, -2881,  1785
   187, -3122,  3587
   -59, -2406,  2648
   -64, -1369,  3259
  -802,  -641,  2959
 -1593,   525,  2691
 -1794,   451,  1258
 -1650,   499,   168
 -1627,   665,  -911
 -1417,   428, -1298
 -1091,  -262, -1243
  -742, -1352, -1097
  -167, -2485,  -634
   310, -3898,   841
  -143, -3522,  2616
  -648, -2311,  3232
 -1005,  -886,  3719
 -1417,   578,  2749
 -1451,   861,  1575
 -1413,   781,   668
 -1479,   697,  -206
 -1148,   -60,  -732
 -1014,  -757, -1594
  -660, -1486, -1064
  -325, -2090,  -405
   119, -2968,   914
    72, -3137,  2809
  -266, -1686,  3981
  -499,  -476,  3949
 -1394,  1197,  2943
 -1735,  1501,  1618
 -1783,   641,    97
 -1712,   530,  -793
 -1535,  -248, -1456
  -925, -1438, -1300
  -501, -2186,  -839
   -72, -2612,   632
   242, -3481,  1884
  -403, -2177,  3863
  -593,  -101,  3996
 -1350,   779,  2887
 -1787,  1085,  1546
 -1983,   618,  -143
 -1825,   347, -1049
 -1577,  -277, -1230
 -1101, -1123, -1186
  -945, -1450,  -225
    67, -3373,  1264
     9, -3080,  2602
  -166, -1287,  3972
  -142,  -413,  3863
  -866,   589,  2902
 -1385,  1229,  1894
 -1580,   837,   978
 -1718,   377,   368
 -2064,   128,  -774
 -1571,  -733, -1232
 -1053, -1365, -1059
  -793, -1967,  -530
  -405, -2392,   734
  -239, -2863,  1955
   -72, -1901,  2909
   179, -1719,  3034
   -77,  -736,  3286
  -860,   477,  2848
 -1395,  1082,  2286
 -1709,   842,  1190
 -1847,   773,   285
 -1738,   283, -1090
 -1255,  -414, -1230
  -940,  -756,  -595
  -637, -1520,  -138
  -498, -2221,   375
  -885, -1912,  1973
  -742, -1586,  3529
  -602,  -794,  3997
  -673,    -7,  3591
 -1092,   332,  2937
 -1776,  1268,  2263
 -1974,  1504,  1172
 -1843,   908,   595
 -2037,   812,   -72
 -1863,    57,  -876
  -986,  -945, -1106
  -777, -1068,  -705
  -833, -1594,   153
  -379, -2751,   682
  -564, -2554,  1366
  -771, -1536,  2900
  -798,  -949,  3905
 -1219,  1506,  3997
 -1152,   888,  3051
 -1786,  1604,  2049
 -2298,  1671,  1056
 -1941,   718,    13
 -1936,   295,  -923
 -1733,  -131, -1264
 -1270,  -696,  -787
 -1000, -1504,  -396
  -681, -2291,   281
  -502, -2534,  1387
  -391, -1743,  3107
  -244, -1492,  3255
   -45,  -805,  3997
  -640,   601,  3736
 -1112,  1157,  2536
 -1644,  1615,  1534
 -2184,  1992,   597
 -2033,  1232,  -106
 -1919,   536,  -693
 -1696,  -172, -1232
 -1224,  -682,  -563
  -851, -1528,   206
  -616, -2425,   588
  -540, -2789,  1618
 -1002, -1637,  2399
  -683, -1008,  3550
  -656,  -193,  3959
 -1051,  1298,  3671
 -1244,   974,  2064
 -1435,  1112,  1011
 -1833,  1716,   225
 -1769,  1185,  -153
 -1555,   728,  -264
 -1590,   374,  -504
 -1212,  -298,  -396
 -1013,  -856,   -67
  -943, -2047,   407
  -488, -3285,   857
  -700, -2165,  1556
  -654, -1571,  2566
  -390, -1114,  3130
  -788,   451,  3129
  -817,  1043,  2763
 -1264,  1324,  2155
 -1615,  1477,  1566
 -2087,  1771,   473
 -2025,   815,     1
 -1775,   -10,  -528
 -1582,  -432,  -904
 -1142, -1050,  -570
  -800, -1421,  -470
  -848, -2016,  -290
  -685, -2488,   406
  -848, -1910,  1444
  -979, -1789,  2272
  -894, -1412,  3744
  -852,  -394,  3993
  -852,    61,  3362
  -987,   -57,  2429
 -1308,   100,  2016
 -1610,   945,  1516
 -1804,  1218,   696
 -1708,   900,  -135
 -1513,   584,  -604
 -1252,    86,  -760
 -1128,  -220,  -675
 -1163,  -617,  -375
  -993, -1505,   -65
  -884, -2278,   223
  -628, -2551,  1055
  -807, -2097,  1809
  -834, -1231,  2772
  -433, -1536,  2634
  -667,  -828,  3006
  -922,   380,  3146
 -1141,   911,  2419
 -1343,  1078,  1677
 -1458,  1246,  1377
 -1541,  1055,   769
 -1193,   453,   501
 -1024,   335,    93
 -1096,   353,  -272
  -861,  -256,  -385
  -682,  -896,  -453
  -545, -1514,  -259
  -652, -1654,   -68
  -684, -1587,   399
  -700, -1334,   918
  -621, -1224,  1653
  -657, -1290,  2092
  -810, -1255,  2408
 -1149,  -483,  2993
 -1321,   800,  3381
 -1191,   665,  2930
 -1341,   598,  2495
 -1594,   436,  2308
 -1854,   447,  1558
 -1874,   709,   775
 -1618,   217,    70
 -1282,   -20,  -400
 -1401,   -29,  -861
 -1165,  -666,  -809
  -893, -1065,  -606
  -812, -1049,  -323
  -906, -1218,   -24
  -613, -2067,   518
  -986, -1320,  1337
 -1343, -1104,  1496
 -1094, -1294,  2897
  -857, -1275,  2292
  -495, -1818,  2289
  -830, -1021,  2398
 -1039,  -140,  1903
  -843,   157,  2110
  -959,   235,  2010
 -1309,   984,  2005
 -1513,  1069,  1563
 -1526,   771,   870
 -1231,   442,   556
 -1075,   163,   212
 -1249,   394,   -86
 -1386,   -96,  -390
  -984, -1095,  -634
  -816, -1155,  -380
  -657, -1453,   -24
  -652, -1610,   262
  -500, -1803,   619
 -1055,  -999,  1065
  -881, -1200,  1642
  -840, -1230,  2201
  -747, -1129,  2706
  -338, -1050,  3016
  -425,  -665,  2610
  -242, -1124,  1753
  -803,  -203,  1555
 -1178,  1071,  1743
 -1095,   851,  1709
 -1319,   946,  1382
 -1532,  1101,  1055
 -1381,   599,   540
 -1044,   188,   238
  -861,    16,    -2
  -703,  -193,  -126
  -743,  -344,  -379
  -575,  -895,  -290
  -640, -1322,  -240
  -826, -1454,   244
  -616, -1686,   706
  -718, -1633,   967
  -694, -1523,  1907
  -733, -1586,  2069
  -971,  -830,  3085
  -573,  -814,  2764
  -421,  -947,  1954
  -465,  -809,  1806
  -610,  -192,  2427
 -1017,   440,  2753
 -1180,   252,  1945
 -1201,   324,  1439
 -1154,   380,   989
  -971,   133,   578
  -888,   185,   215
  -888,    12,   -75
  -937,   -66,  -501
  -828,  -500,  -655
  -560,  -991,  -749
  -864,  -722,  -470
 -1074,  -947,    25
  -760, -1577,   402
 -1167, -1406,   610
  -922, -2220,  1579
 -1018, -2049,  2775
  -700, -1869,  1914
  -508, -1821,  1175
  -678, -1373,  1181
  -841,  -948,  1853
  -949,   192,  2551
  -824,   157,  2668
  -929,  -185,  2278
 -1132,   -54,  1787
 -1286,   156,  1278
 -1320,   130,   472
 -1131,     0,    -8
  -932,  -143,   -71
  -968,   -96,  -249
  -931,  -365,  -493
  -808,  -837,  -535
  -661, -1414,  -546
  -674, -1355,  -375
  -504, -1805,   244
  -456, -1639,   845
  -690, -1306,  1252
  -384, -1648,  2394
  -470, -1266,  1769
  -309, -1338,  1592
  -373,  -740,  2372
  -555,  -297,  2103
  -603,    89,  2669
  -846,   323,  2651
 -1031,    90,  2116
 -1204,   185,  1906
 -1278,   298,  1436
 -1345,   320,   630
 -1247,   120,    -2
 -1114,   -83,  -442
  -930,  -314,  -852
  -858,  -573,  -874
  -631, -1072,  -868
  -805,  -999,  -641
  -965, -1137,   -94
  -723, -1616,   527
  -904, -1640,   548
  -934, -2265,  1750
  -832, -2165,  1541
  -610, -2127,  1594
  -291, -2327,  1566
  -408, -1418,  1885
  -356, -1073,  2124
  -616,  -611,  2174
  -945,   172,  2271
 -1167,   433,  2121
 -1463,   735,  1224
 -1350,   523,   819
 -1140,    37,   322
  -984,   -83,  -246
  -863,  -142,  -386
  -730,  -551,  -599
  -402, -1203,  -506
  -446, -1232,  -328
  -574, -1444,   172
  -308, -1726,   904
  -613,  -546,  1764
  -508,  -592,  1742
  -645,  -411,  2108
  -992,   233,  2486
  -826,   660,  2797
  -552,   510,  2643
  -621,   866,  2474
  -986,  1426,  2146
 -1112,  1253,  1643
 -1300,  1204,  1737
 -1470,  1009,  1823
 -1815,   902,  1068
 -1447,   413,   265
 -1106,    66,  -264
  -982,   -68,  -724
  -813,  -416, -1000
  -589,  -902,  -813
  -633, -1114,  -399
  -886, -1182,    81
  -801, -1537,   710
  -664, -1470,  1113
  -992, -1018,  1333
  -926,  -298,  2249
  -813,  -548,  1461
  -979,  -447,  1775
  -952,   107,  2300
  -636,   -56,  2404
  -431,  -136,  2542
  -713,   410,  2315
  -836,   393,  2189
  -981,   156,  2172
 -1408,   383,  2227
 -1711,   186,  1506
 -1567,   223,  1008
 -1401,   244,   214
 -1211,   134,   -43
 -1143,    42,  -345
 -1010,  -178,  -455
  -831,  -569,  -621
  -689, -1019,  -647
  -627, -1321,  -499
  -767, -1346,  -147
  -674, -1468,   439
  -696, -1129,  1407
  -797,  -894,  1487
  -849, -1062,  1866
  -942,  -743,  2243
  -663,  -974,  1925
  -676,  -726,  2067
