 -623,  -445,  1608
  -687,  -549,  1606
  -279, -1569,  1872
  -151, -1682,  1828
  -281, -1863,  1962
  -442, -1957,  1609
  -581, -1695,  1283
  -583, -1522,   788
  -514, -1278,   116
  -337,  -922,  -205
  -204,  -535,  -310
   -90,  -374,  -274
  -154,  -264,  -367
  -343,    32,  -208
  -457,   358,   -61
  -420,   432,   120
  -547,   203,   192
  -645,   182,   864
  -768,    35,   952
 -1405,   131,  1453
 -1523,   153,  2576
 -1337,   121,  2648
 -1222,   148,  2290
  -949,  -633,  1967
  -779, -1254,  1974
  -782, -1059,  1767
  -526, -2084,  1808
  -612, -2022,  1774
  -754, -1592,  1311
  -770, -1451,   838
  -484, -1257,   317
  -287,  -906,  -116
  -258,  -481,  -385
  -250,  -304,  -332
  -310,  -177,  -427
  -474,    44,  -483
  -535,   315,  -229
  -527,   445,   -27
  -759,   248,    67
 -1018,   413,   708
 -1012,   173,  1324
 -1427,   111,  1401
 -1442,   238,  2308
  -978,  -420,  2211
  -936,    55,  2067
  -812,  -277,  1537
  -388, -1355,  1494
  -741,  -732,  1854
  -944,  -577,  1631
  -702, -1373,  1467
  -662, -1712,  1931
  -811, -1708,  1640
  -761, -1680,  1133
  -498, -1749,   556
  -345, -1334,  -126
  -210,  -879,  -407
  -182,  -717,  -353
  -237,  -611,  -100
  -451,  -295,  -189
  -737,   167,  -306
  -906,   311,  -194
 -1028,   363,    30
 -1209,   488,   409
 -1547,   403,   933
 -1708,   148,  2054
 -1612,    67,  1844
 -1546,  -528,  2178
 -1070, -1213,  2531
  -552, -1850,  1799
  -455, -2229,  2013
  -387, -2457,  1835
  -824, -2004,  1668
 -1109, -1932,  1377
 -1015, -1968,   787
  -884, -1547,    -8
  -551, -1352,  -553
  -277,  -849,  -563
  -103,  -675,  -482
  -397,  -138,  -432
  -573,   380,   -45
  -633,   498,    99
  -637,   525,    90
  -561,    79,   177
  -290,   -87,  1278
   -57,  -770,  2630
   259,  -294,  3157
   384,   227,  2443
  -179,   404,  2049
  -870,   637,  2101
  -948,   445,  1178
  -874,    95,   593
  -804,   -31,   632
  -655,  -250,   248
  -217,  -684,  -101
    75,  -819,   -57
   222,  -856,   -98
   397, -1435,  -201
  -138, -1221,   227
  -377, -1174,   796
  -410, -1747,   665
  -814, -1878,   957
 -1012, -1999,  1449
 -1368, -1869,  1797
 -2028,  -983,  1753
 -2445,   309,  2454
 -2398,   218,  2507
 -2340,  -130,  1757
 -2165,   -68,  1378
 -1875,  -156,  1006
 -1467,  -264,  -238
 -1016,    35,  -636
  -689,   -90,  -692
  -290,  -208,  -759
    25,  -460,  -810
    71,  -648,  -469
    92,  -772,   -92
    73, -1124,   148
  -633,  -974,   676
  -677,  -858,  1270
  -428, -1832,   729
  -676, -1870,  1389
  -615, -1664,  1571
  -915, -2143,  1309
 -1415, -1335,  2009
 -1859,  -677,  1982
 -2198,  -128,  2241
 -2435,   193,  2178
 -2339,    42,  1522
 -2002,   -10,   807
 -1587,   -61,   377
 -1167,    42,  -145
  -852,    33,  -469
  -586,   -84,  -739
  -291,  -125,  -831
     3,  -500, -1016
   150,  -917,  -650
  -136,  -903,  -120
  -369, -1222,   208
  -805, -1125,   773
  -787, -1570,  1063
  -803, -2404,   973
 -1024, -2155,  1333
 -1205, -2124,  1724
 -1502, -1520,  2120
 -1996,  -396,  1852
 -2160,    86,  1894
 -2350,   393,  2225
 -2353,   357,  1723
 -2261,   198,  1210
 -1834,    28,   524
 -1326,    36,  -257
  -934,   148,  -586
  -686,   130,  -568
  -417,  -115,  -637
  -227,  -359,  -817
  -106,  -647,  -611
  -126,  -847,  -301
  -366,  -912,   -37
  -916, -1075,   385
  -975, -1216,  1320
  -839, -1905,   939
 -1275, -1969,  1116
 -1382, -1607,  1444
 -1399, -1599,  1155
 -1541, -1647,  1282
 -2400,  -438,  1806
 -2708,   329,  2355
 -2538,   508,  2104
 -2252,  -186,  1786
 -2184,  -234,  1139
 -1873,   -58,   542
 -1576,  -157,    78
 -1269,  -195,  -421
  -948,  -309,  -700
  -580,  -460,  -544
  -332,  -530,  -551
  -241,  -763,  -731
  -228,  -968,  -368
  -238, -1375,    14
  -614, -1541,   305
  -669, -2156,   916
  -895, -2849,  1036
 -1135, -2351,  1556
 -1247, -1977,  1734
 -1950, -1616,  1606
 -2587,   292,  3091
 -2274,   130,  2940
 -1962,  -235,  2266
 -1965,    89,  1522
 -1721,    67,   473
 -1510,    28,   -35
 -1139,   -97,  -394
  -746,  -225,  -603
  -435,  -225,  -707
  -354,  -116,  -766
  -434,  -308,  -491
  -274, -1212,  -426
  -509, -1327,  -181
 -1133, -1611,   788
  -699, -2766,  1392
  -738, -2409,   866
 -1027, -2470,  1417
 -1237, -1859,  1992
 -1601, -1285,  2022
 -1778,  -137,  2589
 -1841,    -5,  2472
 -1997,   -71,  1806
 -1802,    22,  1139
 -1442,    44,   757
 -1171,    98,   106
  -925,   268,  -349
  -733,   182,  -552
  -446,  -245,  -701
  -169,  -532,  -703
  -241,  -480,  -489
  -290, -1168,  -166
  -389, -1235,   224
 -1067,  -873,   573
  -860, -2067,  1486
  -719, -2136,  1225
 -1040, -1993,  1015
 -1065, -1919,  1894
 -1166, -1849,  1835
 -1823, -1206,  1520
 -2028,   112,  1821
 -1971,   148,  1881
 -1958,   114,  1611
 -1975,   212,  1140
 -1666,   308,   877
 -1398,   209,   514
 -1134,   194,    27
  -904,   127,  -322
  -645,  -194,  -494
  -490,  -267,  -492
  -350,  -620,  -402
  -258, -1048,  -199
  -324, -1051,   285
  -383, -1576,   388
  -423, -1888,  1266
  -350, -1673,  1304
  -544, -2099,   751
  -924, -2014,  1632
  -951, -1463,  1794
 -1234, -1689,  1533
 -1832,  -873,  1263
 -2169,    35,  1794
 -2388,   313,  2089
 -2533,   492,  1818
 -2214,   504,  1071
 -1611,    50,   517
 -1156,  -184,   261
  -861,  -196,  -188
  -616,  -250,  -716
  -358,  -229,  -583
  -133,  -406,  -518
   -30,  -785,  -536
  -127,  -979,    -6
  -295,  -809,   413
  -407,  -880,   672
  -531, -1685,   898
  -760, -1510,  1146
  -915, -1752,   975
  -965, -1922,  1500
  -849, -1870,  1693
 -1372, -1914,  1141
 -2008,  -261,  2223
 -2206,   201,  2379
 -2281,   587,  2442
 -2195,   190,  1845
 -1999,   -18,  1202
 -1620,  -244,   674
 -1302,  -253,   212
 -1090,   -34,  -171
  -923,   110,  -365
  -731,  -183,  -539
  -368,  -588,  -666
  -140,  -754,  -492
   -11, -1342,  -332
  -348, -1073,    -9
  -494,  -991,   538
  -730, -2115,   509
  -996, -1951,  1566
  -921, -1775,  1386
 -1317, -2018,  1359
 -1517, -1471,  2332
 -1958,  -586,  1615
 -2259,   330,  1798
 -2345,   500,  2053
 -2304,   189,  1831
