  -879, -1051,  1432
  -865,  -813,  2608
  -856,  -861,  1811
 -1084,  -427,  2374
 -1294,    28,  2749
 -1554,   729,  2769
 -1641,   682,  2736
 -1755,   633,  1780
 -1812,   778,  1114
 -1501,   359,   658
 -1117,    28,   201
  -826,   -93,   -96
  -576,  -214,  -437
  -365,  -280,  -624
  -170,  -450,  -634
   -55,  -616,  -391
  -100,  -776,  -187
  -235,  -944,    34
  -303,  -875,   527
  -419,  -796,   599
  -610,  -822,   812
  -848,  -431,  1545
 -1027,  -669,  1802
 -1143,  -751,  2280
 -1211,  -714,  2106
 -1282,  -333,  2644
 -1309,   -43,  2699
 -1562,   496,  2636
 -1777,   886,  1931
 -1843,   787,  1694
 -1919,   534,  1489
 -1807,   378,  1048
 -1538,   183,   404
 -1360,   227,   116
 -1303,   312,  -659
  -954,   -60,  -769
  -607,  -461,  -663
  -475,  -504,  -708
  -304,  -788,  -562
  -382,  -797,  -312
  -683,  -860,   -28
  -548, -1303,   497
  -746, -1382,   606
 -1052, -1828,   800
 -1384, -2350,  1705
 -1703, -1874,  2216
 -1578, -1610,  2534
 -1509,  -833,  2803
 -1258,  -257,  2319
 -1129,  -152,  2241
 -1252,   138,  1839
 -1232,   280,  1385
  -957,    81,   781
 -1044,   628,   141
  -569,   427,   357
  -669,   767,  -198
  -398,   352,  -401
  -209,   364,    -2
  -633,   629,  -927
  -335,    52,   -99
  -398,   273,   -69
  -512,   -21,   -99
  -327,  -888,   405
  -656,  -747,   578
  -768, -1171,   525
  -880, -1569,  1521
 -1076, -1495,  1728
 -1265, -1509,  1844
 -1511,  -787,  2136
 -1330,  -660,  1567
 -1394,    42,  2095
 -1182,   259,  2178
 -1124,   416,  2247
 -1424,   696,  1984
 -1668,   807,  1941
 -1783,   847,  1528
 -1571,   661,   945
 -1238,   348,   217
 -1052,   113,  -181
 -1043,    33,  -591
  -948,   -46,  -635
  -684,  -514,  -650
  -355,  -851,  -557
  -352,  -653,  -377
  -380,  -591,   -22
  -130,  -901,   329
  -512,  -920,   638
  -975,  -995,  1787
 -1052, -1961,  1677
 -1688, -1292,  3083
 -1206,  -963,  3089
 -1184,    -7,  3597
 -1323,  1124,  3457
 -1088,   824,  2564
 -1236,   827,  2079
 -1345,   826,  1110
 -1293,   688,   127
 -1246,   613,  -374
 -1127,   429,  -700
  -964,   213,  -698
  -811,    70,  -642
  -548,  -205,  -584
  -399,  -537,  -267
  -461,  -858,    56
  -495, -1553,   190
  -700, -1966,   394
 -1543, -1474,  1014
 -1538, -1990,  1931
 -1380, -2199,  2485
 -1195, -1934,  2887
 -1156,  -832,  3140
 -1186,   153,  2918
 -1259,   413,  2673
 -1541,   861,  2129
 -1838,  1418,  1130
 -1563,   728,   560
 -1236,   244,    13
 -1170,   494,  -496
  -989,   332,  -636
  -838,   201,  -615
  -772,    28,  -603
  -327,  -858,  -387
  -220, -1214,  -451
  -749, -1186,  -273
  -947, -1678,    70
 -1552, -1908,   798
 -1902, -1759,  2063
 -1457, -2415,  2806
 -1314, -1790,  3370
 -1162, -1082,  3043
 -1127,  -596,  2308
 -1352,  -109,  2409
 -1682,   417,  2229
 -1912,   827,  1622
 -1977,  1160,   911
 -1642,   729,   199
 -1305,   472,  -307
 -1208,   425,  -530
 -1099,   332,  -725
  -890,   -87,  -977
  -550,  -738,  -759
  -602,  -911,  -560
  -961, -1280,  -167
  -823, -1934,   295
 -1414, -1904,   254
 -1596, -2485,  1707
 -1290, -2531,  1198
 -1134, -2618,  2070
  -730, -2889,  2351
 -1131, -1077,  2652
 -1104,  -225,  2421
 -1267,   297,  2224
 -1452,   579,  1882
 -1518,   829,  1183
 -1501,  1036,   397
 -1246,   750,  -103
 -1069,   593,  -278
 -1073,   500,  -544
  -825,  -117,  -662
  -644,  -524,  -637
  -614,  -968,  -428
  -710, -1573,  -228
  -709, -1840,   -28
 -1304, -1461,   724
 -1769, -1320,  1402
 -1602, -2585,  1940
 -1597, -2433,  3291
 -1299, -1409,  3657
 -1144,  -689,  3013
 -1297,   210,  2172
 -1594,   979,  1918
 -1720,  1256,  1539
 -1674,  1198,   667
 -1470,   941,   160
 -1162,   517,  -293
  -952,   337,  -614
  -856,   327,  -499
  -685,    22,  -423
  -429,  -565,  -452
  -407,  -902,  -171
  -593, -1107,  -155
  -673, -1690,   398
  -846, -1703,  1435
 -1275, -1067,  1415
 -1246, -1520,  2295
 -1525,  -900,  2538
 -1598,   239,  2719
 -1440,  1029,  2801
 -1397,  1287,  2318
 -1540,  1333,  1822
 -1745,  1306,  1404
 -1955,  1390,   846
 -1961,  1299,   275
 -1456,   563,   -60
 -1067,   280,  -405
  -968,   225,  -582
  -643,  -267,  -739
  -310,  -644,  -772
  -166,  -736,  -710
  -260,  -813,  -369
  -638, -1008,    92
  -811, -1507,   677
 -1256, -1562,  1212
 -1637, -1214,  1705
 -1656, -1267,  2567
 -1548,  -635,  3320
 -1188,  -227,  3207
 -1412,   729,  2840
 -1640,  1200,  2301
 -1771,  1304,  1808
 -1953,  1465,  1301
 -1972,  1347,   592
 -1458,   549,     0
 -1159,   330,  -434
 -1084,   333,  -966
  -768,   -56,  -935
  -544,  -307,  -705
  -487,  -461,  -519
  -430, -1010,  -194
  -581, -1396,   180
