 -1139,   784,   772
  -945,   570,   710
  -742,   340,   746
  -660,   172,   828
  -531,   -75,   949
  -213,  -492,  1124
    77,  -751,  1179
   144,  -759,   913
   -74,  -425,   945
  -236,  -245,   827
  -330,   -64,   807
  -335,    37,   881
  -350,    82,   891
  -305,    98,   954
  -556,   323,   967
  -931,   879,  1141
  -894,   763,  1234
  -864,   374,  1099
  -875,   269,  1062
  -645,  -269,   964
  -260,  -836,   906
    69, -1104,   833
   366, -1448,   732
   452, -1489,   763
   393, -1456,   845
    93, -1181,   919
  -228,  -782,  1050
  -456,  -455,  1054
  -755,  -134,   891
 -1047,   448,   962
 -1180,   820,   939
 -1218,   931,   785
 -1183,  1102,   885
 -1147,  1065,   913
 -1108,   848,  1024
 -1035,   447,  1105
  -810,   -94,  1060
  -559,  -480,  1049
  -141,  -978,  1057
   257, -1537,   864
   431, -1546,   824
   495, -1526,   824
   384, -1417,   783
   133, -1095,   811
   -74,  -847,   908
  -350,  -391,   954
  -599,    98,  1020
  -841,   441,   960
 -1148,  1022,  1009
 -1285,  1245,   970
 -1161,   986,  1101
  -930,   591,  1125
  -863,   348,   935
  -911,   318,  1004
  -742,  -139,  1137
   -85, -1018,   994
   175, -1049,   804
   464, -1366,   821
   567, -1568,   779
   357, -1310,   722
  -851,   619,  1014
 -1069,  1026,  1073
 -1124,  1118,  1056
 -1022,   952,  1016
  -884,   624,   995
  -843,   359,  1047
  -769,    -3,  1105
  -383,  -697,  1075
   481, -1462,   611
   264, -1112,   606
   -18,  -960,   662
  -352,  -331,   991
  -688,    55,   938
 -1071,   595,  1028
 -1179,  1032,  1282
 -1151,   999,  1036
  -974,   959,  1048
  -873,   718,   996
  -858,   453,  1087
  -845,   180,  1077
  -649,  -230,  1047
  -321,  -679,  1070
    54, -1258,   947
   320, -1637,   710
   315, -1509,   483
   310, -1389,   534
   113, -1202,   610
  -141,  -832,   880
  -882,   780,   887
  -845,   844,   852
  -771,   737,   808
  -732,   601,   905
  -787,   548,  1117
  -675,   204,  1279
  -602,  -125,  1090
  -606,  -168,  1107
  -237,  -664,  1099
   -60,  -902,   800
   137, -1118,   735
   346, -1341,   642
   369, -1330,   550
   208, -1196,   598
    30, -1013,   794
  -174,  -891,   934
  -466,  -548,  1072
  -780,     4,  1209
  -984,   393,  1245
 -1106,   633,  1102
 -1171,   830,   936
 -1209,   984,   810
 -1141,   961,   843
 -1035,   734,   884
  -948,   465,   954
  -917,   211,   971
  -831,   -91,  1002
  -632,  -392,   951
  -315,  -796,   869
  -100,  -938,   868
   224, -1349,   803
   450, -1518,   706
   504, -1485,   711
   272, -1168,   788
    43,  -973,   937
  -192,  -817,   974
  -459,  -466,   978
  -741,   -31,   980
  -942,   371,  1120
 -1047,   564,  1007
 -1063,   673,   850
 -1096,   753,   754
 -1092,   903,   799
 -1033,   789,   865
  -915,   490,   942
  -877,   303,   967
  -757,   -77,   956
  -279,  -663,  1030
   296, -1272,  1014
   463, -1381,   864
   460, -1558,   785
   264, -1392,   818
   -12, -1029,   926
  -191,  -889,   939
  -429,  -591,   977
  -644,  -278,   995
  -855,    73,  1037
  -940,   439,  1159
 -1012,   611,  1011
 -1105,   875,   934
 -1171,   973,   910
 -1206,   875,   903
 -1175,   696,   963
 -1085,   319,   981
 -1062,    36,  1004
  -939,  -444,  1019
  -319, -1270,   971
    62, -1448,   805
   256, -1433,   778
   524, -1860,   594
   375, -1609,   515
    85, -1168,   725
  -115, -1020,   921
  -369,  -851,  1021
  -621,  -486,  1012
  -902,   -80,   973
 -1115,   487,  1189
 -1249,   848,  1190
 -1327,   982,   972
 -1283,  1040,   946
 -1179,   743,   833
 -1096,   542,   897
 -1023,   376,   902
  -967,    88,   816
  -805,  -230,   767
  -353,  -668,   809
   108, -1126,   988
   337, -1440,   989
   440, -1720,   958
   360, -1529,   950
   149, -1238,   882
   -58, -1101,   869
  -263,  -918,   885
  -507,  -637,   934
  -792,  -284,   871
 -1037,   226,  1010
 -1191,   820,  1289
 -1286,  1082,  1230
 -1346,  1123,  1081
 -1310,  1066,   971
 -1286,   876,   768
 -1289,   640,   776
 -1186,   265,   966
 -1144,   -32,   950
  -864,  -506,  1109
  -236, -1271,  1124
   319, -1772,   920
   294, -1610,   729
   350, -1612,   630
   380, -1752,   470
   106, -1448,   387
   -83, -1320,   706
  -278, -1304,   911
  -594,  -994,  1113
  -970,  -466,  1252
 -1126,    49,  1413
 -1266,   512,  1434
 -1432,  1050,  1214
 -1761,  1457,   861
 -2025,  1690,   705
 -1824,  1271,   784
 -1647,   570,   839
 -1629,   198,  1017
 -1696,  -209,  1213
 -1525,  -841,  1498
 -1174, -1494,  1268
  -142, -2189,  1151
   352, -2221,   764
   187, -1652,   382
   422, -1840,   220
   359, -1811,   246
    37, -1376,   447
   -90, -1538,   717
  -424, -1592,   979
  -843, -1395,  1310
 -1317, -1024,  1394
 -1477,  -535,  1455
 -1456,   -35,  1406
 -1334,   322,  1296
 -1289,   492,  1054
 -1143,   738,  1034
 -1109,   795,   861
 -1220,  1005,   710
 -1341,  1049,   732
 -1392,   975,   824
 -1452,   598,   810
 -1452,   343,  1071
 -1449,   -20,  1157
 -1352,  -440,  1200
 -1256,  -775,  1396
 -1004, -1153,  1491
  -458, -1679,  1277
  -196, -1578,  1071
   -50, -1240,   861
   192, -1401,   652
   144, -1243,   361
   132, -1050,   393
   204, -1216,   349
    80, -1216,   444
  -154, -1052,   761
  -286, -1128,   983
  -577, -1104,  1176
  -918,  -665,  1391
 -1021,  -491,  1362
 -1062,  -271,  1104
  -986,    19,  1199
  -958,   273,  1134
  -999,   432,  1099
 -1161,   770,  1081
 -1057,   925,   972
  -922,   687,   892
  -925,   656,   904
 -1039,   718,   787
 -1052,   461,   767
 -1088,   287,   883
 -1160,   173,   985
 -1188,   -25,  1067
 -1028,  -442,  1099
  -854,  -711,  1241
  -748,  -911,  1191
  -396, -1155,  1301
  -100, -1242,  1097
   104, -1235,   903
    81, -1055,   820
    28, -1010,   727
   -15, -1038,   636
   -60,  -940,   579
   -96,  -831,   614
  -145,  -930,   611
  -288,  -948,   724
  -452,  -930,   872
  -628,  -953,  1068
  -847,  -712,  1333
 -1001,  -372,  1425
 -1036,  -106,  1280
  -942,   111,  1301
  -991,   276,  1198
 -1071,   448,   880
  -962,   594,   792
  -859,   537,   661
  -838,   557,   580
  -955,   774,   566
 -1023,   776,   637
 -1032,   603,   799
 -1091,   459,   889
 -1094,   245,   933
 -1051,  -103,  1031
 -1006,  -256,  1131
  -841,  -547,  1194
  -832,  -681,  1171
  -492,  -942,  1354
  -365, -1002,  1112
  -244,  -943,   998
   -82,  -973,   901
    24, -1010,   730
    41,  -995,   577
    38,  -964,   569
     7, -1011,   590
  -144,  -898,   757
  -297,  -816,   966
  -470,  -818,  1034
  -705,  -609,  1111
  -772,  -434,  1170
  -817,  -311,  1100
  -864,  -144,  1079
  -911,    27,  1041
  -848,   171,  1026
  -810,   365,  1021
  -846,   507,   843
  -798,   690,   905
  -801,   784,   807
  -803,   786,   826
  -887,   746,   842
  -962,   675,   824
  -979,   484,   877
 -1067,   288,   919
 -1131,   130,  1010
  -972,  -293,  1097
  -812,  -579,  1045
  -745,  -636,  1095
  -528,  -947,  1103
  -386, -1064,   955
  -206, -1023,   913
  -144,  -996,   774
    20, -1087,   717
   145, -1118,   624
   146, -1060,   564
    75, -1089,   630
  -109, -1070,   777
  -390,  -896,   889
  -594,  -749,  1051
  -819,  -517,  1108
  -913,  -188,  1127
  -893,    91,  1151
  -789,    95,  1030
  -719,    22,   936
  -726,   222,  1038
  -756,   415,   994
  -723,   519,   993
  -706,   657,  1002
  -777,   775,   947
  -824,   711,   912
  -839,   531,   992
  -960,   450,   991
 -1079,   325,  1021
 -1037,     0,  1112
  -961,  -237,  1100
  -889,  -458,   996
  -669,  -716,  1118
  -450,  -938,  1048
  -347,  -927,   909
  -140,  -973,   949
    52, -1077,   880
   157, -1098,   695
   204, -1054,   581
   188, -1048,   544
    71, -1067,   512
  -120,  -990,   635
  -291,  -935,   948
  -416,  -958,  1141
  -610,  -793,  1232
  -806,  -509,  1241
  -899,  -180,  1268
  -874,   123,  1282
  -835,   250,  1113
  -817,   345,   936
  -759,   403,   986
  -776,   541,  1009
  -755,   591,   997
  -750,   604,   997
  -711,   488,   952
  -701,   319,   967
  -801,   185,   997
  -946,   107,  1039
 -1000,   -99,  1034
  -797,  -395,  1088
  -558,  -750,   981
  -483,  -761,  1024
  -373,  -917,  1095
  -230, -1092,  1087
  -115,  -992,  1051
    82, -1151,   836
   129, -1089,   646
   159, -1023,   462
   150, -1088,   304
    -1,  -981,   367
  -100,  -982,   663
  -269, -1051,  1002
  -497,  -888,  1213
  -623,  -596,  1329
  -666,  -428,  1282
  -739,  -163,  1267
  -823,   135,  1159
  -808,   321,  1065
  -766,   437,  1017
  -704,   369,   902
  -791,   540,   975
  -877,   657,  1089
  -955,   576,  1045
  -891,   445,  1056
  -887,   175,   979
  -978,    86,  1014
  -947,   -15,  1256
  -912,  -360,  1285
  -969,  -490,  1378
  -667, -1068,  1309
  -508, -1080,  1090
    58, -1564,   692
   337, -1778,   265
   205, -1343,   145
   274, -1360,   154
   198, -1353,   206
    83, -1276,   505
  -115, -1404,   800
  -366, -1213,  1211
  -592,  -868,  1325
  -751,  -568,  1444
  -910,  -179,  1488
 -1012,   193,  1340
 -1015,   433,  1233
  -969,   609,  1163
  -904,   655,   977
  -791,   572,   860
  -640,   317,   949
  -747,   513,  1016
  -951,   597,   951
  -933,   229,   981
  -872,    34,  1018
  -875,   -90,  1095
  -876,  -297,  1126
  -585,  -748,  1167
  -505,  -869,  1120
  -496,  -644,  1222
    20, -1476,   969
   126, -1300,   736
   297, -1268,   709
   280, -1327,   487
   142, -1108,   373
   130, -1217,   346
   -25, -1213,   588
  -202, -1059,   962
  -358, -1030,  1098
  -465,  -854,  1316
  -610,  -637,  1305
  -788,  -266,  1325
  -860,   114,  1322
  -810,   331,  1117
  -779,   383,   897
  -857,   610,   786
  -915,   732,   718
  -984,   806,   804
  -970,   827,  1044
  -966,   657,  1038
 -1067,   599,   919
 -1073,   353,   938
 -1057,    47,  1053
 -1102,    -7,  1141
  -949,  -404,  1208
  -653,  -886,  1241
  -562, -1019,  1321
  -630,  -962,  1316
    40, -1758,  1146
   232, -1728,   603
   200, -1231,   464
   248, -1261,   366
   135, -1152,   304
    -8, -1007,   447
   -63, -1083,   736
  -230, -1092,   978
  -481,  -928,  1143
  -715,  -622,  1170
  -677,  -450,  1288
  -739,  -315,  1251
  -854,    86,  1217
  -866,   358,  1213
  -940,   601,  1259
  -907,   768,  1210
  -683,   501,  1113
  -750,   489,  1036
  -921,   594,   940
  -984,   525,   897
  -923,   385,   932
  -919,   192,   890
  -949,    23,   966
  -702,  -402,  1168
  -457,  -808,  1163
  -468,  -803,  1187
   -54, -1206,  1307
    61, -1316,  1021
   190, -1284,   777
   333, -1387,   544
   213, -1126,   395
   143, -1090,   416
   104, -1207,   728
   -72, -1032,  1066
  -363,  -676,  1115
  -467,  -450,  1259
  -656,   -97,  1238
  -657,   244,  1268
  -620,   256,  1146
  -801,   548,  1410
 -1069,   759,  1114
 -1116,   635,   644
 -1086,   725,   660
 -1134,   736,   746
 -1191,   690,   784
 -1183,   587,   961
 -1013,   131,  1078
  -807,  -348,  1123
  -286, -1106,  1228
  -334,  -914,  1218
  -118, -1137,  1261
   375, -1941,   785
   574, -1924,   429
   396, -1549,   271
   238, -1520,   401
    71, -1640,   761
  -420, -1397,  1185
  -908,  -429,  1553
 -1009,    15,  1247
  -875,   151,   954
  -860,   280,   898
  -943,   380,   947
 -1037,   583,   866
 -1061,   729,   824
 -1078,   778,   854
 -1093,   805,   817
 -1039,   693,   668
  -878,   315,   779
  -797,   135,   834
  -828,     8,   907
  -992,    24,  1113
  -523,  -552,  1357
  -464,  -830,  1108
  -806,  -351,  1158
   -80, -1146,  1257
   246, -1627,   971
   294, -1177,   921
   424, -1406,   723
   274, -1363,   532
   117, -1149,   642
   -34, -1002,   758
  -260,  -855,   903
  -437,  -631,  1147
  -618,  -354,  1171
  -733,  -137,  1059
  -837,   144,  1046
  -839,   355,  1036
  -815,   509,   999
  -792,   553,   996
  -804,   661,   980
  -833,   650,   940
  -833,   685,  1061
  -899,   701,  1048
  -864,   534,  1014
  -696,   161,  1020
  -722,    33,  1028
  -607,  -151,  1140
  -229,  -786,  1137
  -289,  -789,   903
   -78,  -843,  1001
   203, -1355,   819
   328, -1256,   645
   463, -1473,   420
   300, -1325,   413
   159, -1165,   752
   -68,  -925,   933
  -314,  -680,  1005
  -581,  -410,  1095
  -717,   -90,  1139
  -777,   203,  1176
  -871,   532,  1140
  -832,   496,   996
  -876,   525,  1021
  -958,   608,  1067
  -994,   627,  1026
  -958,   440,  1034
  -968,   314,   998
  -892,   150,  1121
  -676,  -384,  1149
  -461,  -655,  1044
  -155,  -972,  1199
    90, -1496,   915
   410, -1756,   638
   363, -1406,   448
   290, -1168,   334
   194, -1141,   205
    61, -1121,   285
  -164, -1082,   613
  -381,  -875,  1118
  -637,  -569,  1349
  -761,  -267,  1434
  -813,   -10,  1363
  -979,   416,  1196
  -928,   569,  1101
  -807,   408,  1055
  -711,   263,   994
  -665,   245,   862
