  -933,  -426,   465
  -575,  -226,   485
  -363,  -371,    36
  -128,  -223,  -253
   -12,    70,  -629
   117,   141,  -696
   137,   215,  -740
    34,    -6,  -755
   -72,  -106,  -630
  -196,  -129,  -320
  -469,    30,  -241
  -977,    73,  -158
  -979,   -77,  1181
 -1028,  -464,  1509
 -1089,  -139,  1688
 -1008, -1041,  3204
 -1003,    67,  3138
  -617,   149,  3788
  -455,  -264,  2773
  -667,  -585,  2084
  -918,  -304,  2575
 -1184,  -106,  2294
 -1178,  -275,  1027
  -892,  -378,   495
  -700,  -178,  -242
  -431,    23,  -696
  -165,    67,  -789
   -17,   202,  -743
    -5,   139,  -851
  -132,  -112,  -818
  -173,  -113,  -280
  -303,  -231,   -90
  -631,  -228,   -33
 -1053,    87,   825
  -863,  -615,  3327
  -691,   -22,  2855
  -731,  -283,  3494
  -415,   175,  3951
  -597,  -592,  2066
  -474,  -591,  1698
  -536,  -363,   929
  -520,  -213,  -146
  -322,     9,  -686
  -174,   195, -1035
  -183,   132, -1043
  -214,    34,  -688
  -202,  -264,  -103
  -480,  -678,   538
 -1334,   -58,  2946
 -1282,  1037,  3997
  -795,   114,  2594
  -300,  -326,  1329
  -232,  -342,   823
  -275,  -139,   -93
  -195,    -8,  -574
   -27,   -11,  -707
    26,  -161,  -572
    43,  -294,  -260
  -145,  -505,   312
 -1256,   -88,  2599
 -1143,   963,  3950
  -582,  -178,  1357
    33,  -269,  1119
     0,  -416,   173
    -7,  -156,  -662
    26,   -36,  -677
   -45,  -257,  -361
  -136,  -433,   176
  -756,    47,  2314
  -872,   668,  3997
  -571,    10,  1955
  -122,   -82,   797
  -124,  -371,    33
   -98,   -43,  -958
   -83,  -101, -1223
  -102,  -388,  -421
  -186,  -390,   356
  -837,   171,  2408
 -1098,   589,  3997
  -620,    95,  2010
   -59,  -248,   831
     4,  -374,  -461
   -80,  -276, -1419
  -100,  -344,  -919
  -236,  -691,   175
 -1028,   216,  2421
 -1082,   910,  3997
  -614,   -52,  1708
   -50,  -226,  1162
  -229,  -507,  -427
  -245,  -160, -1478
  -220,  -224, -1222
  -211,  -565,  -392
  -503,  -130,  1023
 -1174,  1012,  3743
  -637,   822,  3365
  -177,  -357,  1125
  -185,  -564,   357
  -403,  -429, -1132
  -367,  -226, -1527
  -294,  -213,  -756
  -314,  -616,    45
  -652,   -36,  2323
 -1064,  1022,  3997
  -574,   290,  2892
  -185,  -218,  1093
  -381,  -613,    17
  -538,  -305, -1493
  -473,  -131, -1788
  -390,  -392,  -789
  -528,  -376,   966
  -917,   859,  3853
  -295,   622,  3548
  -126,   -96,  1101
  -297,  -509,   189
  -539,  -458, -1556
  -379,  -408, -1665
  -218,  -772,  -558
  -498,  -338,  1153
 -1231,   955,  3753
  -721,   890,  3530
  -353,   -96,   846
  -220,  -631,     5
  -436,  -606, -1649
  -387,  -349, -1741
  -219,  -475,  -106
  -837,  -304,  1810
 -1061,  1572,  3997
  -719,   355,  2241
  -156,  -244,   769
  -178,  -910,  -775
  -180,  -594, -1682
  -121,  -209, -1062
  -217,  -290,  -224
  -877,   173,  1837
 -1102,  1673,  3997
  -528,   317,  2360
   -11,  -573,   792
  -103,  -732,  -158
  -125,  -367, -1186
  -300,  -144, -1537
  -174,  -244,  -521
  -113,  -355,   918
  -873,   267,  3514
  -542,  1220,  3933
  -277,  -404,  1063
   -91,  -658,   469
  -468,  -591, -1451
  -670,  -160, -2208
  -475,  -133,  -986
  -275,  -722,   418
  -677,   194,  3334
  -449,  1031,  3997
  -399,    67,  1458
  -301,  -600,   651
  -589,  -654, -1176
  -668,  -102, -2089
  -503,    14, -1366
  -164,  -615,    94
  -540,  -164,  2781
  -626,  1629,  3997
  -427,    88,  2217
  -160,  -281,  1207
  -585,  -541,  -473
  -545,  -138, -1638
  -430,  -349, -1719
  -382,  -735, -1229
   -61,  -470,   384
 -1022,   193,  2707
 -1025,  2095,  3997
  -439,   -13,  2028
   -27,  -614,   727
  -480,  -588,  -758
  -668,  -281, -2160
  -545,  -220, -1602
